name,location,cuisines,rate,votes,approx_cost_for_two,online_order,book_table,rest_type,listed_in_type
Kidambi's Kitchen,Banashankari,South Indian,3.5,52,300,No,No,Quick Bites,Delivery
Mane Thindi,Banashankari,South Indian,3.7,130,200,No,No,Quick Bites,Delivery
Floured-Baked With Love,Banashankari,Bakery,3.8,45,400,No,No,"Takeaway, Delivery",Delivery
Bengaluru Coffee House,Banashankari,"South Indian, North Indian, Chinese, Street Food",4.1,201,300,Yes,No,Quick Bites,Delivery
Anna Kuteera,Banashankari,"South Indian, North Indian, Chinese",4.0,771,450,Yes,No,Casual Dining,Delivery
Darbar,Banashankari,"North Indian, Chinese",3.0,98,800,No,No,Bar,Delivery
Sri Udupi Food Hub,Jayanagar,"South Indian, North Indian, Chinese, Beverages",4.1,175,500,Yes,Yes,Casual Dining,Delivery
House Of Kebabs,Basavanagudi,"North Indian, Kebab, Biryani, Chinese",3.8,540,650,Yes,No,Casual Dining,Delivery
Roll N Rock,Kumaraswamy Layout,"Chinese, North Indian, Mughlai, Rolls",3.8,124,400,Yes,No,Quick Bites,Delivery
BOX8- Desi Meals,Banashankari,"North Indian, Mughlai, Fast Food",4.1,340,500,Yes,No,"Takeaway, Delivery",Delivery
KFC,Banashankari,"Burger, Fast Food",3.8,505,450,Yes,No,Quick Bites,Delivery
Roll Over,Jayanagar,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",4.1,438,500,Yes,No,Dessert Parlor,Delivery
Imperial Restaurant,Mysore Road,"North Indian, Chinese, Biryani, Beverages",3.7,264,750,Yes,No,Casual Dining,Delivery
Wahab,Jayanagar,"North Indian, Mughlai, Chinese",3.7,97,350,Yes,No,Quick Bites,Delivery
Canton,Jayanagar,"Chinese, Seafood, Biryani",3.6,195,800,Yes,No,Casual Dining,Delivery
The Blue Wagon - Kitchen,Jayanagar,"Cafe, Beverages",4.6,228,400,Yes,No,Cafe,Delivery
Patio 805,Jayanagar,"Thai, Vietnamese, Asian, Chinese",4.1,364,1200,Yes,Yes,Casual Dining,Delivery
Lassi Corner,Basavanagudi,"Beverages, Ice Cream",3.7,107,150,Yes,No,Beverage Shop,Delivery
Sagar Deluxe,Kumaraswamy Layout,"South Indian, North Indian, Chinese, Juices",3.2,167,300,Yes,No,Quick Bites,Delivery
Energy Addaa,Basavanagudi,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",4.2,64,500,Yes,No,Quick Bites,Delivery
Tandoori Knight,Banashankari,"North Indian, Chinese, Biryani, Kebab",3.0,290,450,Yes,No,Quick Bites,Delivery
Dev Sagar - Food Street,Basavanagudi,Street Food,4.1,233,200,Yes,No,Quick Bites,Delivery
Mitraa Da Pizza,Kumaraswamy Layout,"Fast Food, Pizza",3.8,115,250,Yes,No,Quick Bites,Delivery
Grazers,Jayanagar,"Cafe, Burger, Continental, Italian, Desserts",3.9,291,650,Yes,Yes,Cafe,Delivery
Shakes Theory,Jayanagar,"Beverages, Sandwich",4.5,155,300,Yes,No,Beverage Shop,Delivery
@Italy,Kumaraswamy Layout,Italian,4.1,305,700,Yes,No,Casual Dining,Delivery
Old Mumbai Ice Cream,Banashankari,Ice Cream,3.9,38,150,Yes,No,Dessert Parlor,Delivery
Donne Biriyani House,Banashankari,"South Indian, North Indian, Chinese, Biryani",3.9,441,400,Yes,No,Quick Bites,Delivery
Kedia's Fun Food,Jayanagar,"North Indian, Street Food, Juices",4.3,630,200,Yes,No,Quick Bites,Delivery
Just Shawarma,Kumaraswamy Layout,Arabian,3.9,160,300,Yes,No,Quick Bites,Delivery
Mini Punjabi Dhaba,Banashankari,North Indian,4.2,287,350,Yes,No,Quick Bites,Delivery
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Banashankari,Cafe,4.1,402,500,Yes,No,Cafe,Delivery
Gokul Veg,Basavanagudi,"North Indian, Chinese, Beverages",3.8,469,750,Yes,No,Casual Dining,Delivery
Olive - Era,Kumaraswamy Layout,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",3.3,511,550,Yes,No,Casual Dining,Delivery
Gama Gama,Banashankari,South Indian,3.9,264,200,Yes,No,Quick Bites,Delivery
The Vintage Cafe,Banashankari,"Cafe, French, North Indian",3.0,62,400,Yes,No,Cafe,Delivery
Pizza Hut,Banashankari,"Pizza, Fast Food",3.8,693,750,Yes,No,Casual Dining,Delivery
Mangalore Pearl,Jayanagar,"Mangalorean, Seafood, Chinese, Biryani",3.8,242,650,Yes,No,Casual Dining,Delivery
Twiststick House,Basavanagudi,"Continental, Fast Food, Street Food, Momos",4.1,163,500,Yes,No,Quick Bites,Delivery
Cool Corner,Basavanagudi,"Street Food, Fast Food",4.2,191,250,Yes,No,Quick Bites,Delivery
Pizza Mane,Banashankari,"Pizza, Sandwich, Burger, Fast Food",3.5,32,150,Yes,No,Quick Bites,Delivery
Dal Tadkaa,Banashankari,North Indian,2.5,247,500,Yes,No,Casual Dining,Delivery
Chutney Chang,Jayanagar,"North Indian, Chinese, BBQ",4.1,2339,1500,Yes,Yes,Casual Dining,Delivery
Mystique Palate,Jayanagar,"Chinese, Fast Food",4.1,337,300,Yes,No,Quick Bites,Delivery
Thamboola,Banashankari,"North Indian, Chinese, Continental",3.9,135,800,Yes,No,Casual Dining,Delivery
Castle Rock,Uttarahalli,"North Indian, Chinese",3.6,172,700,Yes,No,Casual Dining,Delivery
Vietnamese Kitchen,Banashankari,Vietnamese,3.6,105,700,Yes,No,Casual Dining,Delivery
Smacznego,Banashankari,"Cafe, Mexican, Italian, Momos, Beverages",4.2,504,550,Yes,No,Cafe,Delivery
Toscano,Jayanagar,"Italian, Salad",4.3,1129,1300,Yes,Yes,Casual Dining,Delivery
Stoned Monkey,Banashankari,"Desserts, Ice Cream",4.3,860,500,Yes,No,Dessert Parlor,Delivery
Central Jail Restaurant,Jayanagar,"Andhra, Seafood, North Indian, Chinese",3.8,412,700,Yes,No,Casual Dining,Delivery
Bella,Jayanagar,"Mangalorean, Seafood, South Indian",3.9,142,1000,Yes,Yes,Casual Dining,Delivery
New Prashanth Hotel,Jayanagar,"South Indian, Biryani, Chinese, North Indian",3.6,143,750,Yes,No,Casual Dining,Delivery
Karma Kaapi,Jayanagar,"Beverages, Tea",4.4,181,250,Yes,No,Beverage Shop,Delivery
Tiwari's,Jayanagar,"North Indian, Street Food",3.8,70,200,Yes,No,Quick Bites,Delivery
Pizza Stop,Basavanagudi,"Pizza, Italian",3.8,164,600,Yes,No,Quick Bites,Delivery
Biggies Burger 'n' More,Kumaraswamy Layout,"Cafe, Burger, Beverages",3.6,58,650,Yes,No,Quick Bites,Delivery
Srinathji's Cafe,Basavanagudi,"North Indian, Cafe, Chinese, Fast Food",3.8,148,550,No,No,"Casual Dining, Cafe",Delivery
Kollapuri's,Basavanagudi,"South Indian, Mangalorean",3.9,206,450,No,No,Quick Bites,Delivery
RS Shiv Sagar,Basavanagudi,"North Indian, Chinese, South Indian, Fast Food, Juices",3.7,217,450,No,No,Casual Dining,Delivery
Harshi Super Sandwich,Basavanagudi,"Fast Food, Street Food",3.8,148,150,No,No,Quick Bites,Delivery
Ugadi,Jayanagar,"North Indian, Chinese, Biryani, Andhra, Mangalorean",2.9,177,700,Yes,No,Casual Dining,Delivery
Subway,Banashankari,"Salad, Fast Food",3.7,136,600,Yes,No,Quick Bites,Delivery
The Lassi Park,Jayanagar,"Juices, Desserts",4.1,185,200,Yes,No,Quick Bites,Delivery
A2B - Adyar Ananda Bhavan,Mysore Road,"South Indian, North Indian, Chinese, Street Food",3.8,155,400,Yes,No,Casual Dining,Delivery
Srikrishna Bhavan,Banashankari,"South Indian, North Indian, Chinese",3.8,42,300,Yes,No,Quick Bites,Delivery
Timepass Dinner,Basavanagudi,North Indian,3.8,286,600,Yes,No,Casual Dining,Delivery
Green Gardenia,Banashankari,"North Indian, Chinese",3.8,160,700,Yes,No,Casual Dining,Delivery
J Spice,Banashankari,"North Indian, Chinese",3.8,59,750,Yes,No,Casual Dining,Delivery
Hatti Kaapi,Jayanagar,"South Indian, Beverages",4.0,89,200,Yes,No,Quick Bites,Delivery
Upahara Darshini,Basavanagudi,"North Indian, Chinese, South Indian, Fast Food",3.9,40,600,Yes,No,Casual Dining,Delivery
The Chaat Shop,Basavanagudi,Fast Food,2.5,35,200,Yes,No,Quick Bites,Delivery
My Tea House,Banashankari,"Italian, Fast Food, Cafe, European",3.6,62,600,Yes,No,"Quick Bites, Cafe",Delivery
Samskruti - Sanman Gardenia,Jayanagar,"North Indian, Chinese, South Indian",4.1,139,550,Yes,No,Casual Dining,Delivery
Chumma Delicious,Banashankari,"South Indian, Fast Food",3.7,237,200,Yes,No,Quick Bites,Delivery
New Prashanth Hotel,Banashankari,"Biryani, North Indian, Seafood, Andhra",3.9,388,650,Yes,No,Casual Dining,Delivery
Dwaraka Grand,Kumaraswamy Layout,"South Indian, Chinese, Street Food, Juices",3.9,128,500,Yes,No,Casual Dining,Delivery
Gufha - The President Hotel,Jayanagar,"North Indian, Afghani, Mughlai",4.1,1875,1200,Yes,Yes,Casual Dining,Delivery
Cafe Vivacity,Banashankari,Cafe,3.8,90,650,Yes,No,Cafe,Delivery
Mojo Pizza - 2X Toppings,Banashankari,Pizza,4.2,179,600,Yes,No,Delivery,Delivery
South Kitchen,Basavanagudi,South Indian,4.3,275,100,Yes,No,Quick Bites,Delivery
Chung Wah,Jayanagar,"Chinese, Thai, Momos",3.7,323,850,Yes,No,Casual Dining,Delivery
Prems Graama Bhojanam,Jayanagar,South Indian,4.3,322,400,Yes,No,Casual Dining,Delivery
Java City,Jayanagar,"Cafe, American, Pizza",2.6,157,450,Yes,No,Cafe,Delivery
Kamat Bugle Rock,Basavanagudi,"South Indian, Fast Food",3.9,543,300,Yes,No,Quick Bites,Delivery
Woodee Pizza,Banashankari,"Cafe, Pizza, Fast Food, Beverages",3.7,180,500,Yes,No,Cafe,Delivery
Puliyogare Point,Basavanagudi,South Indian,4.2,444,100,Yes,No,Quick Bites,Delivery
Bangalore Agarwal Bhavan,Jayanagar,"Street Food, North Indian, South Indian",3.9,134,400,Yes,No,Quick Bites,Delivery
Rustic Stove,Jayanagar,"North Indian, South Indian, Biryani, Beverages",3.8,577,900,Yes,No,Casual Dining,Delivery
De Thaali,Jayanagar,"North Indian, Chinese, Rolls",3.9,144,550,Yes,No,Casual Dining,Delivery
Spice Elephant,Banashankari,"Chinese, North Indian, Thai",4.1,787,800,Yes,No,Casual Dining,Delivery
Matru Sagar,Banashankari,"South Indian, North Indian, Chinese",3.6,84,250,Yes,No,Quick Bites,Delivery
Sea Spice by 7 Star,Banashankari,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab",4.0,349,1200,Yes,Yes,Casual Dining,Delivery
Desi Dawat,Kumaraswamy Layout,"North Indian, Fast Food",3.7,248,400,Yes,No,Quick Bites,Delivery
Cafe Aira,Basavanagudi,"Cafe, Continental, Beverages, Desserts",4.1,216,500,Yes,No,Cafe,Delivery
Penthouse Cafe,Banashankari,"Cafe, Italian, Continental",4.0,324,700,Yes,No,Cafe,Delivery
Mast Punjabi,Kumaraswamy Layout,"North Indian, Chinese, Rolls, Biryani, Kebab",2.6,231,400,Yes,No,Quick Bites,Delivery
South Grand,Uttarahalli,"South Indian, North Indian, Chinese, Beverages",3.4,102,400,Yes,No,Casual Dining,Delivery
Catch-up-ino,Banashankari,"Cafe, Fast Food, Continental, Chinese, Momos",3.9,133,800,Yes,No,Cafe,Delivery
The Pizzeria,Banashankari,"Pizza, Italian, Salad",2.8,45,800,Yes,No,Casual Dining,Delivery
Ruchis Point,Banashankari,"Fast Food, Chinese",3.8,75,200,Yes,No,Quick Bites,Delivery
Firangi Bake,Rajarajeshwari Nagar,"Mexican, Italian",4.0,53,600,Yes,No,Delivery,Delivery
The Royal Corner - Pai Viceroy,Jayanagar,"North Indian, Chinese",4.2,815,900,Yes,Yes,Casual Dining,Delivery
Hara Fine Dine,Banashankari,"North Indian, Chinese",4.0,633,800,Yes,Yes,Casual Dining,Delivery
Chocoberry,Jayanagar,"Ice Cream, Desserts, Beverages",3.5,56,400,Yes,No,Dessert Parlor,Delivery
Waffle-A-Go Go,Banashankari,"Fast Food, Desserts, Ice Cream",3.9,70,400,Yes,No,Dessert Parlor,Delivery
Cross Road Cafe,Jayanagar,"Cafe, Fast Food, Chinese",3.9,91,300,Yes,No,Cafe,Delivery
Bakers Town,Kumaraswamy Layout,"Cafe, Continental, Fast Food",3.8,77,650,Yes,No,Cafe,Delivery
Ivy,Kumaraswamy Layout,"North Indian, Chinese, Fast Food",3.8,210,600,Yes,No,Casual Dining,Delivery
The Airos,Jayanagar,"Cafe, Italian, Pizza",4.1,130,650,Yes,No,Cafe,Delivery
Chai Kraft,Jayanagar,"Beverages, Tea",4.1,30,100,Yes,No,Beverage Shop,Delivery
Kirthi's Biryani,Banashankari,"Chinese, Cafe, Italian",3.8,144,700,Yes,No,Cafe,Delivery
The Trundle,Jayanagar,"Chinese, Thai, Continental, North Indian",3.7,133,700,Yes,No,Casual Dining,Delivery
The Krishna Grand Xpress,Jayanagar,"South Indian, Fast Food",4.0,136,350,Yes,No,Quick Bites,Delivery
Udupi Grand,Basavanagudi,"South Indian, North Indian, Chinese",3.8,74,300,Yes,No,Quick Bites,Delivery
Little Cafe,Basavanagudi,"Cafe, Beverages",3.7,54,600,Yes,No,Cafe,Delivery
1980s Games Cafe,Basavanagudi,"Cafe, Fast Food",3.4,58,400,Yes,No,Cafe,Delivery
Kadala Tarangaa,Banashankari,"Mangalorean, Seafood, North Indian",3.6,129,600,Yes,No,Casual Dining,Delivery
As On Fire,South Bangalore,"Pizza, Fast Food, BBQ",3.5,41,400,Yes,No,Food Truck,Delivery
Curry Leaves,Basavanagudi,"Andhra, North Indian, Chinese",4.1,176,800,Yes,No,Casual Dining,Delivery
Magic Meals,Jayanagar,"Fast Food, Desserts, Beverages",3.7,47,400,Yes,No,"Quick Bites, Dessert Parlor",Delivery
Desi Cream Junction,Jayanagar,"Chinese, North Indian, Pizza, Italian",3.7,36,650,Yes,Yes,Casual Dining,Delivery
Eat Repeat,Basavanagudi,South Indian,3.9,101,150,Yes,No,Quick Bites,Delivery
Salut,Jayanagar,"Continental, Finger Food, Seafood, Pizza",4.1,442,1200,Yes,Yes,"Pub, Casual Dining",Delivery
Sandwich Mama's And Frozen Monster,Jayanagar,"Ice Cream, Beverages, Fast Food",3.8,53,250,Yes,No,Quick Bites,Delivery
Food Springs,Jayanagar,"South Indian, Chinese",4.0,232,400,Yes,No,Quick Bites,Delivery
Chung's Chinese Corner,Jayanagar,Chinese,3.9,221,700,Yes,No,Casual Dining,Delivery
Eurasia Pasta and Barbeque by Little Italy,Jayanagar,"Italian, Fast Food, Salad, BBQ",4.1,1063,1200,Yes,Yes,"Casual Dining, Bar",Delivery
Goli Vada Pav No. 1,Basavanagudi,Street Food,3.7,93,200,Yes,No,Quick Bites,Delivery
Ragoo's,Jayanagar,"Italian, Pizza, North Indian, Salad",3.9,233,800,Yes,No,Casual Dining,Delivery
Pure & Natural,Jayanagar,"Fast Food, Continental, Beverages, Salad, Healthy Food",3.9,211,500,Yes,No,Casual Dining,Delivery
Maiyas,Jayanagar,"North Indian, South Indian, Fast Food, Juices",4.0,1778,200,Yes,No,Quick Bites,Delivery
Sip n Dine,Vijay Nagar,"North Indian, Chinese, South Indian",3.6,218,800,Yes,No,Casual Dining,Delivery
Cafe Mondo,Basavanagudi,"Cafe, Italian, Beverages",3.7,514,600,Yes,No,Cafe,Delivery
Jalpaan,Jayanagar,"North Indian, Continental",4.0,866,900,Yes,Yes,Casual Dining,Delivery
Kataria's Pakwan,Kumaraswamy Layout,North Indian,3.2,96,400,Yes,No,Quick Bites,Delivery
Juicy Momos,Banashankari,"Tibetan, Momos",3.5,80,250,Yes,No,Quick Bites,Delivery
Amande Patisserie,Basavanagudi,"Bakery, French, Desserts",4.0,73,300,Yes,No,Bakery,Delivery
Anand Sweets and Savouries,Jayanagar,"Mithai, Street Food",3.9,84,400,Yes,No,Sweet Shop,Delivery
Chicken Hunt,Banashankari,"South Indian, North Indian, Chinese, Biryani",3.5,88,350,Yes,No,Quick Bites,Delivery
Swadesh Tadka,Banashankari,"North Indian, Chinese, Beverages",3.5,179,600,Yes,No,Casual Dining,Delivery
Cane-O-La,Basavanagudi,Juices,3.8,61,100,Yes,No,Quick Bites,Delivery
New Biryani Mane,Uttarahalli,"North Indian, Chinese, Biryani, South Indian",3.7,128,450,Yes,No,Casual Dining,Delivery
Upahara Darshini,Jayanagar,"South Indian, North Indian, Chinese",3.8,339,400,Yes,No,Quick Bites,Delivery
Karnataka Bhel House,Basavanagudi,Street Food,4.1,449,100,Yes,No,Quick Bites,Delivery
Sreeraj Lassi Bar,Jayanagar,Beverages,4.1,210,150,Yes,No,"Dessert Parlor, Beverage Shop",Delivery
Bunt's Biriyani Palace,Banashankari,"North Indian, South Indian, Chinese, Biryani, Seafood",3.0,213,400,Yes,No,Quick Bites,Delivery
Chai Point,Jayanagar,"Tea, Beverages, Fast Food",3.2,208,250,Yes,No,"Beverage Shop, Quick Bites",Delivery
Janahaar,Banashankari,South Indian,3.8,70,100,Yes,No,Quick Bites,Delivery
Redberrys,Basavanagudi,"Cafe, Italian",4.0,219,600,Yes,No,Cafe,Delivery
Utsav,Banashankari,"North Indian, Street Food",3.7,59,200,Yes,No,Quick Bites,Delivery
The Spice Saga,Kumaraswamy Layout,"Biryani, North Indian, Chinese, Seafood",3.7,124,750,Yes,No,Casual Dining,Delivery
Jalsa,Banashankari,"North Indian, Mughlai, Chinese",4.1,775,800,Yes,Yes,Casual Dining,Delivery
Subz,Jayanagar,"North Indian, South Indian",4.2,2022,1000,Yes,Yes,Casual Dining,Delivery
Cafe Shuffle,Banashankari,"Cafe, Italian, Continental",4.2,150,600,Yes,Yes,Cafe,Delivery
Mint and Mustard,Basavanagudi,"North Indian, Chinese",4.0,232,750,Yes,No,Casual Dining,Delivery
Punjabi Raswada,Jayanagar,North Indian,3.5,431,800,Yes,Yes,Casual Dining,Delivery
Vinny's,Banashankari,"Pizza, Italian, Continental, Desserts",4.2,2115,800,Yes,Yes,Casual Dining,Delivery
Sukh Sagar,Jayanagar,"South Indian, North Indian, Chinese, Street Food",3.8,155,450,Yes,No,Casual Dining,Delivery
Andhra Ruchulu,Jayanagar,"Andhra, Biryani, North Indian, Chinese",4.1,666,1000,Yes,Yes,"Casual Dining, Bar",Delivery
Steaming Mugs,Basavanagudi,Cafe,3.9,240,700,Yes,No,Cafe,Delivery
San Churro Cafe,Banashankari,"Cafe, Mexican, Italian",3.8,918,800,Yes,No,"Cafe, Casual Dining",Delivery
Rajathadri Food Fort,Jayanagar,"South Indian, North Indian, Chinese, Street Food",4.0,465,600,Yes,No,Casual Dining,Delivery
Brew Meister,Jayanagar,"North Indian, Continental, Finger Food, American, Asian",4.1,970,1500,Yes,Yes,"Microbrewery, Casual Dining",Delivery
Rasoi,Banashankari,"North Indian, Chinese",3.3,128,300,Yes,No,Quick Bites,Delivery
Mr. Singh Da Dhaba,Kumaraswamy Layout,"North Indian, Chinese",3.6,241,300,Yes,No,Quick Bites,Delivery
Ayodhya Upachar,Banashankari,"South Indian, North Indian, Chinese, Street Food",4.3,734,200,Yes,No,Quick Bites,Delivery
Biriyani Mane,Jayanagar,"North Indian, Biryani",3.8,130,400,Yes,No,Quick Bites,Delivery
Cafe Ajfan,Jayanagar,"Cafe, Continental, Beverages",4.2,261,700,Yes,No,Cafe,Delivery
Brundhavana Food Point,Kumaraswamy Layout,"South Indian, North Indian, Chinese, Street Food, Beverages",4.0,191,300,Yes,No,Quick Bites,Delivery
SLV Corner Restaurant,Basavanagudi,"South Indian, Chinese, North Indian, Street Food, Rolls, Juices",4.1,364,550,Yes,No,Casual Dining,Delivery
The Krishna Grand,Banashankari,"North Indian, South Indian, Chinese, Fast Food, Juices",3.9,888,750,Yes,No,Casual Dining,Delivery
Roti Ghar,Basavanagudi,"North Indian, Chinese, South Indian",3.9,750,500,Yes,No,Casual Dining,Delivery
The Coffee Shack,Banashankari,"Cafe, Chinese, Continental, Italian",4.2,164,500,Yes,Yes,Cafe,Delivery
Baisakhi,Basavanagudi,North Indian,3.8,527,500,Yes,No,Casual Dining,Delivery
Corner House Ice Cream,Banashankari,"Ice Cream, Desserts",4.3,345,400,No,No,Dessert Parlor,Desserts
Poonam Sweets,Banashankari,Mithai,4.4,356,150,No,No,Sweet Shop,Desserts
Old Mumbai Ice Cream,Banashankari,Ice Cream,3.9,38,150,Yes,No,Dessert Parlor,Desserts
Polar Bear,Banashankari,"Ice Cream, Desserts, Beverages, Sandwich",3.9,116,400,Yes,No,Dessert Parlor,Desserts
San Churro Cafe,Banashankari,"Cafe, Mexican, Italian",3.8,918,800,Yes,No,"Cafe, Casual Dining",Desserts
Kirthi's Biryani,Banashankari,"Chinese, Cafe, Italian",3.8,144,700,Yes,No,Cafe,Desserts
